EIIN,Institution_Name,Institution_Type,Management,Establishment_Year,Division,District,Madrasah_Type,College_Type,Computer_Facility_2010,Internet_2010,Year,Total_Students,Female_Students,Disabled_Students,Teachers,TSR,Dropout_Rate,Completion_Rate,Pass_Rate,Computer_Facility,Internet_Access,Electricity_Access,Girls_Toilet,Budget,Community_Contribution,Solar_System,Data_Source,Cluster,Infrastructure_Score
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2020,209,98,12,0.009900990099009896,31.093349654561877,26.26291427964349,73.73708572035652,89.3299568062983,0,1.0,1.0,1,0.11015266352222773,703840.97,0,"BANBEIS 2021, APSC Report, DPE Statistics",2,0.25804662879081686
4442476,Ins_280 School,Secondary School,Private,2010,Barishal,Barguna,,,0,0,2021,992,674,51,0.27722772277227725,29.34421718697981,29.44217403172035,70.55782596827964,89.20597140637277,0,1.0,1.0,1,0.10770438339392732,465385.05,0,"BANBEIS 2021, APSC Report, DPE Statistics",2,0.33702050852864684
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2010,106,57,4,0.0,34.03491093050531,32.36105811785221,67.63894188214779,83.99372515228703,0,0.0,0.5655897183817586,1,0.3700983146784248,1909512.82,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.1850491573392124
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2011,430,241,21,0.0693069306930693,35.57025783235346,40.01522121794538,59.98477878205462,82.36820249714334,0,0.0,0.774556458127749,1,0.0011846944334419737,1326.96,0,"BANBEIS 2021, APSC Report, DPE Statistics",2,0.021384426424641778
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2012,614,273,24,0.12871287128712872,33.806873725742584,34.296333183598996,65.70366681640101,83.39788304334861,0,0.0,0.6828288779819459,1,0.5498734104677115,2433015.7,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.31355056661999436
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2013,639,391,27,0.14851485148514854,31.687515102260942,36.62661070309314,63.37338929690686,84.95515208043344,0,0.0,0.7283169122877728,1,0.44402004056663613,2187709.69,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.2665644757288626
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2014,248,154,15,0.019801980198019806,32.64175302236915,34.750002452801624,65.24999754719838,88.20318521506042,0,1.0,0.8035439030377325,1,0.46592158160960506,648985.86,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.4389013848642085
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2015,454,246,26,0.07920792079207921,33.663443388790185,31.347104465866817,68.65289553413318,84.37159715112125,0,0.0,0.8043613538662524,1,0.2885999330789167,1262744.53,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.1680623427770821
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2016,418,229,16,0.07920792079207921,30.863721772425286,34.2345111803471,65.7654888196529,87.60179472813545,0,1.0,0.903010117346986,1,0.5826011388166105,1446313.77,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.515062945645929
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2017,535,296,32,0.10891089108910891,32.50273291258173,27.65201582929885,72.34798417070115,86.72791863537172,0,0.0,0.936458453602911,1,0.3748602573894681,775749.65,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.22010339602146672
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2018,712,306,26,0.18811881188118812,29.57499727061767,29.86135451302095,70.13864548697904,86.44506388740632,0,1.0,1.0,1,0.33742463789159416,587535.21,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.4251479625101535
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2019,684,340,39,0.1782178217821782,29.69147166773313,31.744014909140827,68.25598509085917,89.93577301387833,0,1.0,0.9106675110370066,1,0.12243941240065748,492755.49,1,"BANBEIS 2021, APSC Report, DPE Statistics",2,0.3146850527349822
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2020,387,231,26,0.08910891089108912,27.261495289568167,24.220799079846643,75.77920092015336,89.7697029914384,0,1.0,0.9657034833843344,1,0.45887343300049055,2382452.8,1,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.45616938976757204
5711955,Ins_844 School,Secondary School,Private,1973,Khulna,Sathkhira,,,0,0,2021,868,506,47,0.22772277227722776,30.297235679197293,27.096708493433688,72.90329150656632,83.88621597093719,0,1.0,0.8931636907945976,1,0.31542266721314405,526580.12,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.42602816528974036
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2010,972,324,53,0.44554455445544555,19.07833532040647,36.290438990959984,63.709561009040016,75.13110380465967,0,0.0,0.6626570304983819,1,0.49132452755771977,2014277.3,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.3793256301154936
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2011,719,215,38,0.29702970297029707,20.458293668998223,41.40552960135851,58.59447039864149,77.61768907406743,0,0.0,0.7255254415244017,1,0.08421653304002152,184583.11,0,"BANBEIS 2021, APSC Report, DPE Statistics",2,0.1312171774110999
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2012,910,273,40,0.39603960396039606,19.901590167653264,34.81623610164506,65.18376389835494,77.75053073323974,0,0.0,0.8089083878150742,1,0.29541661634512867,438154.23,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.2665201893606831
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2013,1171,366,81,0.6039603960396039,17.712881080469,40.43993029430344,59.56006970569656,80.22552980696922,0,1.0,0.8441645687850592,1,0.1916690553465556,884995.25,0,"BANBEIS 2021, APSC Report, DPE Statistics",2,0.47702264648515896
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2014,1119,366,43,0.43564356435643564,22.43539628838283,38.47145417472292,61.52854582527708,81.76290339593102,0,0.0,0.8454599769870919,1,0.5724559441927759,3029089.0,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.41692104140331865
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2015,956,324,49,0.3564356435643565,23.04705062445808,37.20743279180774,62.79256720819226,79.43584862762627,0,1.0,0.7133552373105936,1,0.26713898210877923,1318555.58,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.4405001841236965
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2016,924,293,48,0.39603960396039606,20.4657426154805,37.14956055932005,62.85043944067995,79.26523336292803,0,0.0,0.9520772084838216,1,0.1661536005360353,334543.13,0,"BANBEIS 2021, APSC Report, DPE Statistics",2,0.20188868145613648
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2017,1384,415,72,0.6435643564356436,19.511438120446932,29.54098945919553,70.45901054080447,80.81327975997324,0,1.0,0.953429607599536,1,0.25631393139822506,1531082.81,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.5212262726298056
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2018,913,326,43,0.42574257425742573,18.98679438344837,29.053588596511656,70.94641140348834,78.99127998316041,0,1.0,0.8550670514170591,1,0.5671105627528894,3603914.86,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.6112780536536724
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2019,734,228,45,0.31683168316831684,19.322631351802805,31.37658511911396,68.62341488088605,81.34501893233355,0,1.0,0.9527855726291526,1,0.407953860060183,1321758.22,1,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.4990264349805865
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2020,868,328,55,0.32673267326732675,22.728163874930036,28.42855303897624,71.57144696102375,81.45478562137565,0,1.0,0.8621196695414773,1,0.3883575775091557,1227048.76,1,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.4921985907347759
3012089,Ins_198 Madrasah,Madrasah,Private,1951,Rajshahi,Joypurhat,Kamil,,0,0,2021,1363,481,56,0.5247524752475247,23.45977079736689,24.60020471954094,75.39979528045906,85.62533786960118,0,1.0,0.8822985137185569,1,0.2831735692958682,1016564.83,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.4990125272221915
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2010,446,266,21,0.07920792079207921,32.87263467533671,32.14635147986819,67.85364852013181,83.06629045465611,0,0.0,0.7415272579113273,0,0.7386386208994341,2293487.0,0,"BANBEIS 2021, APSC Report, DPE Statistics",3,0.39308168668734084
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2011,858,450,40,0.18811881188118812,34.84339636764252,36.7797102029506,63.2202897970494,86.94227688461072,0,0.0,0.67273183598407,1,0.18320974544329238,393682.92,0,"BANBEIS 2021, APSC Report, DPE Statistics",2,0.14804051628600262
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2012,403,264,31,0.07920792079207921,30.10613586039428,34.038629163374985,65.96137083662501,81.85958197279082,0,0.0,0.7540801425591398,1,0.41437520834722735,2477526.36,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.23094998041123743
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2013,928,485,49,0.22772277227722776,32.032975084830206,34.105756364378934,65.89424363562107,83.5392066200167,0,1.0,1.0,1,0.3600812092166349,1349230.27,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.4483574362914858
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2014,320,177,14,0.04950495049504951,30.400740351665924,30.38584615446533,69.61415384553467,80.76476048228164,0,0.0,0.7952286157497046,1,0.49318961372900993,2976951.92,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.26144629201301983
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2015,709,266,42,0.18811881188118812,29.030308572661816,27.88592591431364,72.11407408568635,86.7357297185171,0,1.0,0.9457554719021884,1,0.5000031131047179,2281761.65,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.5064372001167154
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2016,316,155,11,0.0396039603960396,32.79508714060759,28.90335953020848,71.09664046979152,81.09812206490955,0,1.0,0.993021977183748,1,0.1384624184142544,95202.35,0,"BANBEIS 2021, APSC Report, DPE Statistics",2,0.2811123973259391
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2017,542,306,34,0.11881188118811882,31.366945663284746,25.57195632855171,74.42804367144828,83.26325808693588,0,1.0,0.8591437746724319,1,0.5352551199868484,2870787.92,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.5032711243498599
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2018,602,355,33,0.14851485148514854,29.81538921239845,30.730238884754485,69.26976111524552,83.77465879101688,0,1.0,1.0,1,0.47154253435811655,2636586.32,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.4803257226246028
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2019,685,312,35,0.14851485148514854,33.24620884924956,28.572878971535054,71.42712102846494,87.29256029747229,0,1.0,1.0,1,0.3444906735659967,1871131.34,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.4167997922285429
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2020,125,87,6,0.0,27.42023138166616,27.395628476979912,72.60437152302009,83.15434541338216,0,1.0,0.9998094367011244,1,0.6325862352522945,1043173.34,1,"BANBEIS 2021, APSC Report, DPE Statistics",3,0.5162931176261473
634274,Ins_980 School,Secondary School,Private,1998,Barishal,Bhola,,,0,0,2021,391,225,7,0.07920792079207921,28.54420549969971,29.16500197687094,70.83499802312906,86.72595884386266,0,1.0,1.0,1,0.29019878052528386,1459458.3,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.3688617665002657
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2010,899,582,48,0.20792079207920794,33.66975415555632,37.414049845753766,62.585950154246234,81.05741771331944,0,0.0,0.6173484828753943,1,0.32952514886559087,406891.39,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.2271388120565578
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2011,758,390,36,0.1584158415841584,34.82220507146994,35.643530420923526,64.35646957907647,80.2524992677622,0,0.0,0.603523271681448,1,0.545120328589853,862388.93,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.32008491677017403
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2012,444,249,26,0.0693069306930693,35.72135207221541,34.211115690018985,65.78888430998101,82.65678854919601,0,0.0,0.7626553353799469,1,0.4851387320865751,1704738.98,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.26336144525120836
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2013,810,441,39,0.19801980198019803,31.8217394581442,28.744093816974967,71.25590618302503,88.30396943648768,0,1.0,0.9066784993203209,1,0.45158206427574243,1169330.04,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.48519697273193063
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2014,363,186,15,0.0693069306930693,28.216192197492752,38.908659791198424,61.091340208801576,78.10818991604222,0,1.0,0.7814315335949468,1,0.6704898626721912,4198999.76,0,"BANBEIS 2021, APSC Report, DPE Statistics",3,0.5560370105440164
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2015,380,187,16,0.04950495049504951,34.665109938625065,31.48917862382562,68.51082137617438,88.00590123456509,0,1.0,0.8242448428854696,1,0.33476828499524325,1314128.88,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.3822356276461365
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2016,512,294,29,0.10891089108910891,30.316846735563285,30.77359191597673,69.22640808402326,84.24345076944705,0,0.0,0.9667193061918938,1,0.18125763793427002,691584.4,0,"BANBEIS 2021, APSC Report, DPE Statistics",2,0.12330208629386769
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2017,862,549,36,0.22772277227722776,29.743296234800468,30.211609028378728,69.78839097162127,83.74602164338637,0,1.0,0.9245318055325736,0,0.6173143509075946,1421196.68,0,"BANBEIS 2021, APSC Report, DPE Statistics",3,0.5769740071369656
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2018,696,462,29,0.1782178217821782,29.60303108296988,28.79091058769028,71.20908941230972,84.57909109046292,0,1.0,0.8518103378456865,1,0.6039668128923229,3467665.48,1,"BANBEIS 2021, APSC Report, DPE Statistics",3,0.555448752980815
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2019,664,297,28,0.13861386138613863,34.17602280841266,26.55048391205141,73.4495160879486,86.9866522244227,0,1.0,0.94640300849539,1,0.39561540243579996,2179705.65,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.43939185963374155
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2020,390,187,19,0.08910891089108912,26.269718646286396,26.057279184111216,73.94272081588878,89.81123930544322,0,1.0,0.9289469920673792,1,0.4101569756685362,1522436.36,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.4318111611015949
8845618,Ins_480 School,Secondary School,Private,1964,Rajshahi,Chapainawabganj,,,0,0,2021,566,286,24,0.12871287128712872,30.23732608471143,28.61239445445643,71.38760554554356,85.09688201488446,0,1.0,0.8616655305427167,1,0.48178683496191377,719507.96,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.4795072788670955
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2010,741,427,38,0.1584158415841584,34.34301909638969,34.385833351583834,65.61416664841616,81.77185662092188,0,0.0,0.739094059828092,1,0.46416393541954626,1386805.76,1,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.27960672018502064
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2011,372,208,23,0.0594059405940594,31.473940976754324,34.09753694199045,65.90246305800954,81.3555217682156,0,1.0,0.5612776250064299,1,0.2372317281815888,1261654.12,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.33643764626901224
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2012,238,110,9,0.019801980198019806,33.76190567138683,31.624235022676014,68.37576497732398,84.55031155874947,0,0.0,0.7155052369537831,1,0.3443341993811025,2197314.7,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.1781076937499572
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2013,837,365,49,0.19801980198019803,32.72531537750129,34.52289058138221,65.4771094186178,85.0377280137445,0,1.0,0.8756588441886349,1,0.5417864387502739,3167510.85,1,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.5302991599691964
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2014,584,286,28,0.11881188118811882,33.730489900687886,34.41847162655935,65.58152837344065,81.66729727756157,0,0.0,0.9009956813352508,1,0.5232908894070367,867781.6,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.29728900905995403
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2015,567,300,27,0.099009900990099,35.790072841537416,30.558047059994443,69.44195294000556,85.10469981810341,0,0.0,0.9394677142438131,1,0.34419840532162754,2174075.96,1,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.20180217295784347
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2016,689,376,25,0.1683168316831683,30.418803045313737,37.476588704796235,62.523411295203765,87.20104970892268,0,1.0,0.8205884369512014,1,0.5723725944325372,1583722.27,1,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.5366813467212191
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2017,735,378,40,0.1584158415841584,33.55785798962748,33.23634202047074,66.76365797952926,84.93073971231361,0,1.0,0.9465370922215312,1,0.4174631034230822,1367935.45,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.4562563041867886
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2018,765,410,46,0.18811881188118812,31.601530853479183,29.92555755040913,70.07444244959086,83.37379284614843,0,1.0,0.9007818438802416,1,0.32310476372940616,1040775.75,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.4179880254290595
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2019,507,328,35,0.13861386138613863,25.35541462765512,26.927904159470703,73.0720958405293,86.61073969700111,0,1.0,0.8748079859770782,1,0.5633253873016085,1246979.27,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.5232468520666459
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2020,710,404,30,0.1584158415841584,32.7158575201165,36.704135127906625,63.295864872093375,85.36613122922557,0,1.0,1.0,1,0.48375621992748746,856703.58,1,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.4894028624389913
9266841,Ins_270 School,Secondary School,Private,2013,Rajshahi,Natore,,,0,0,2021,449,155,21,0.099009900990099,29.125301982414644,24.739285662587204,75.2607143374128,82.2598360367472,0,1.0,1.0,1,0.46749602490195247,1080646.05,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.46345098274800595
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2010,768,469,34,0.1782178217821782,33.37730422577461,35.83135352165352,64.16864647834649,83.10559722654668,1,0.0,0.8227803433451346,1,0.4308766041981361,1705168.54,1,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.2689036486337215
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2011,523,299,13,0.099009900990099,34.83341212171722,30.0781088105301,69.9218911894699,78.3126246496905,1,0.0,0.7237384181387078,1,0.3542659176897993,1428599.54,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.20683592914192936
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2012,533,253,24,0.099009900990099,33.982132086890715,34.7574598552581,65.2425401447419,83.72960076977348,1,0.0,0.8588654479366519,1,0.5262898489118366,1095250.6,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.292847894752948
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2013,746,498,37,0.18811881188118812,30.75241075751762,37.78403682136933,62.21596317863067,78.53549101047578,1,0.0,0.8862680234886299,1,0.30628367760741504,785049.11,0,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.20957748236806395
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2014,659,394,33,0.14851485148514854,31.55673022685839,31.482808634248652,68.51719136575134,78.28300993258934,1,0.0,0.8485886967256792,1,0.5013869967287403,3067568.84,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.2952479538099147
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2015,797,415,42,0.21782178217821785,28.959241057583192,32.088848830346166,67.91115116965383,84.5496296032905,1,1.0,0.8061066027655996,1,0.4218850930256348,1414481.08,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.47628908116628277
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2016,492,214,33,0.10891089108910891,29.455170017978823,35.49109328297724,64.50890671702277,91.00346532098574,1,1.0,0.9689541231169024,1,0.40001915854820114,525526.16,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.4326828466008332
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2017,188,105,11,0.009900990099009896,30.672860378175084,27.853653238823867,72.14634676117613,85.68761429064803,1,1.0,0.86758961844159,1,0.3826911516622316,2466381.23,0,"BANBEIS 2021, APSC Report, DPE Statistics",4,0.3943158728608188
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2018,792,416,42,0.19801980198019803,30.90412802030323,25.430992238120385,74.56900776187962,85.8294957488641,1,1.0,0.8190785469516819,1,0.2583539280864529,569800.97,1,"BANBEIS 2021, APSC Report, DPE Statistics",1,0.3885829046372859
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2019,667,330,33,0.1584158415841584,30.912257098218653,28.557499588663585,71.44250041133643,82.6652158002427,1,1.0,1.0,1,0.5114514929261722,708010.42,0,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.5032504989383336
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2020,1300,675,55,0.36633663366336633,30.290075710897995,29.90704186522239,70.0929581347776,81.06992244132124,1,1.0,0.9987586780474406,1,0.6265262962898768,1198320.73,1,"BANBEIS 2021, APSC Report, DPE Statistics",3,0.6231641382439482
3971122,Ins_658 School,Secondary School,Private,1967,Barishal,Pirojpur,,,1,0,2021,602,282,28,0.1683168316831683,27.199368640275814,28.62550235878358,71.37449764121642,86.75374956275418,1,1.0,1.0,1,0.4899880837165398,2547950.71,1,"BANBEIS 2021, APSC Report, DPE Statistics",0,0.4954890913632204
